Human Timestamp,Unix Time,Microseconds,Pulse Count,Distance,Speed,Slip,Active Flag
Tue May 24 08:00:19 EDT 2016,1464091219,449980,0,0.0,0.0,0.0,0
Tue May 24 08:00:19 EDT 2016,1464091219,649981,0,0.0,0.0,0.0,0
Tue May 24 08:00:19 EDT 2016,1464091219,850202,0,0.0,0.0,0.0,0
Tue May 24 08:00:20 EDT 2016,1464091220,49979,0,0.0,0.0,0.0,0
Tue May 24 08:00:20 EDT 2016,1464091220,299980,0,0.0,0.0,0.0,0
Tue May 24 08:00:20 EDT 2016,1464091220,500033,0,0.0,0.0,0.0,0
Tue May 24 08:00:20 EDT 2016,1464091220,699979,0,0.0,0.0,0.0,0
Tue May 24 08:00:20 EDT 2016,1464091220,899979,0,0.0,0.0,0.0,0
Tue May 24 08:00:21 EDT 2016,1464091221,100200,0,0.0,0.0,0.0,0
Tue May 24 08:00:21 EDT 2016,1464091221,299980,0,0.0,0.0,0.0,0
Tue May 24 08:00:21 EDT 2016,1464091221,499982,0,0.0,0.0,0.0,0
Tue May 24 08:00:21 EDT 2016,1464091221,699981,0,0.0,0.0,0.0,0
Tue May 24 08:00:21 EDT 2016,1464091221,900032,0,0.0,0.0,0.0,0
Tue May 24 08:00:22 EDT 2016,1464091222,99981,0,0.0,0.0,0.0,0
Tue May 24 08:00:22 EDT 2016,1464091222,299980,0,0.0,0.0,0.0,0
Tue May 24 08:00:22 EDT 2016,1464091222,500167,0,0.0,0.0,0.0,0
Tue May 24 08:00:22 EDT 2016,1464091222,699981,0,0.0,0.0,0.0,0
Tue May 24 08:00:22 EDT 2016,1464091222,899982,0,0.0,0.0,0.0,0
